cnpj;tx_razao_social_osc;tx_nome_fantasia_osc;cd_natureza_juridica_osc;dt_fundacao_osc;situacao_cadastral;tx_endereco_completo;cd_municipio;municipio_nome;UF_Sigla;cnae;Area_Assistencia_social;Area_Associacoes_patronais_e_profissionais;Area_Cultura_e_recreacao;Area_Desenvolvimento_e_defesa_de_direitos_e_interesses;Area_Educacao_e_pesquisa;Area_Outras_atividades_associativas;Area_Religiao;Area_Saude;SubArea_Assistencia_social;SubArea_Associacoes_de_atividades_nao_especificadas_anteriormente;SubArea_Associacoes_de_produtores_rurais_pescadores_e_similares;SubArea_Associacoes_empresariais_e_patronais;SubArea_Associacoes_profissionais;SubArea_Atividades_de_apoio_a_educacao;SubArea_Cultura_e_arte;SubArea_Desenvolvimento_e_defesa_de_direitos;SubArea_Educacao_infantil;SubArea_Educacao_profissional;SubArea_Ensino_fundamental;SubArea_Ensino_superior;SubArea_Esportes_e_recreacao;SubArea_Estudos_e_pesquisas;SubArea_Hospitais;SubArea_Outras_formas_de_educacao_ensino;SubArea_Outros_servicos_de_saude;SubArea_Religiao
6327840000140;ASSOCIACAO DESENVOVIM COMUNITA RURAL DE SANTO AMARO;ADCRS;3999;2004-06-14;Inapta;SITIO RUZARIO DE CIMAS/N, ZONA RURAL, João Dias, RN, 59880000;2405900.0;JOÃO DIAS;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6814682000152;ASSOCIACAO COMUNITARIA DA BOA VISTA E COMUNIDADES CIRCUNVIZINHAS;ASSOCIACAO COMUNITARIA DA BOA VISTA;3999;2004-07-01;Inapta;SITIO BOA VISTASN, ZONA RURAL, Janduís, RN, 59690000;2405207.0;JANDUÍS;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
7242592000105;ASSOCIACAO COMUNITARIA DAS COMUNIDADES DE MATA VERDE, PAU QUEIMADO E AREIAS;Não Informado;3999;2005-02-22;Inapta;NA MATA VERDESN, ZONA RURAL, Lajes Pintadas, RN, 59235000;2406809.0;LAJES PINTADAS;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
7343164000160;ASSOCIACAO BENEFICENTE FRANCISCA DANTAS VIEIRA DA SILVA;ASSOCIACAO BENEFICENTE FRANCISCA DANTAS VIEIRA DA SILVA;3999;2005-04-15;Suspensa;RUA CEL LAURENTINO DE MORAIS1240, ABOLICAO IV, Mossoró, RN, 59614480;2408003.0;MOSSORÓ;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
7487067000141;CENTRO DE DESENVOLVIMENTO SOCIAL DR. LUIZ CANDIDO BEZERRA;Não Informado;3999;2005-07-06;Inapta;SITIO CURRAL DA VARZEAS/N, ZONA RURAL, Upanema, RN, 59670000;2414605.0;UPANEMA;RN;88006;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7517746000116;ASSOCIACAO COMUNITARIA ZACARIAS ALVES DE OLIVEIRA;CARIAS;3999;2005-07-13;Inapta;SITIO PICOS00, ZONA RURAL, Marcelino Vieira, RN, 59970000;2407302.0;MARCELINO VIEIRA;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
7611299000160;ASSOCIACAO DOS PESCADORES DE AREIAS ALVAS SUL;APAAS;3999;2005-09-26;Ativa;COLÔNIA COMUNIDADE DE AREIAS ALVAS SULS/N, ZONA RURAL, Grossos, RN, 59675000;2404408.0;GROSSOS;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
7680712000148;ASSOCIACAO RURAL DE DESENVOLVIMENTO DA COMUNIDADE SERRINHA;ASSOCIACAO DA COMUNIDADE SERRINHA;3999;2005-11-08;Ativa;SÍTIO SERRINHAS/N, ZONA RURAL, Currais Novos, RN, 59380000;2403103.0;CURRAIS NOVOS;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
70030671000180;ASSOCIACAO COMUNIT NOSSA SENHORA DE FATIMA P DE M ALEGR;Não Informado;3069;1993-11-04;Ativa;NA POV  DE MONTE ALEGRESN, ZONA RURAL, Paraná, RN, 59950000;2408607.0;PARANÁ;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
9244847000196;MINISTERIO PALAVRA VIVA;MINISTERIO PALAVRA VIVA;3999;2007-11-23;Ativa;RUA ASPIRANTE SANTOS2184, PASSAGEM DE AREIA, Parnamirim, RN, 59145730;2403251.0;PARNAMIRIM;RN;94910;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
9482997000138;CAMARA BRASIL-PORTUGAL DO RIO GRANDE DO NORTE - COMERCIO, INDUSTRIA E TURISMO;CAMARA BRASIL-PORTUGAL;3999;2008-02-27;Inapta;RUA RAIMUNDO CHAVES2182, SALA  101                       EMPRES CANDELARIA, CANDELARIA, Natal, RN, 59064390;2408102.0;NATAL;RN;94111;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5207577000192;ASSOCIACAO COMUNITARIA DE ASSISTENCIA E PROMOCAO SOCIAL DE SAO RAFAEL;ACAPS-SR;3999;2002-07-25;Inapta;PRACA DO MERCADO00, CENTRO, São Rafael, RN, 59518000;2412807.0;SÃO RAFAEL;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
5389409000165;ASSOCIACAO DAS SAMARITANAS MARTINHA MARIA TORRES;Não Informado;3999;2002-11-04;Ativa;RODOVIA BR 405SN, KM 74, CONJ. IPE, Apodi, RN, 59700000;2401008.0;APODI;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
5298478000163;ASSOCIACAO DOS ARTESAOS RADICADOS NO MUNICIPIO DE SAO FERNANDO;Não Informado;3999;2002-03-13;Inapta;RUA CAP JOSE INACIO45, SAO FERNANDO, São Fernando, RN, 59327000;2411809.0;SÃO FERNANDO;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
5408028000186;ASSOCIACAO COMUNITARIA DOS PRODUTORES DO RUFINO E DA MATA;Não Informado;3999;2001-11-20;Ativa;SITIO RUFINOSN, CASA, ZONA RURAL, Venha-Ver, RN, 59925000;2414753.0;VENHA-VER;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
7978101000180;ASSOCIACAO COMUNITARIA JOAO GLISOSTE DE OLIVEIRA;Não Informado;3999;2006-03-27;Inapta;SÍTIO LAGOA DO POCOSN, ZONA RURAL, Goianinha, RN, 59173000;2404200.0;GOIANINHA;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
11217572000143;ASSOCIACAO CULTURAL ESPORTE CLUBE BOM JESUS;ASSOCIACAO CULTURA ESPORTE CLUBE BOM JESUS;3999;2009-07-10;Ativa;RUA TEREZINHA MARTINS FREIRE307, LOTEAMENTO ALMIR FREIRE, Bom Jesus, RN, 59270000;2401701.0;BOM JESUS;RN;94936;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
24518375000106;FUNDACAO DR JOSE TORQUATO DE FIGUEIREDO;FUNDACAO DOUTOR JOSE TORQUATO;3069;1990-12-17;Ativa;RUA GOV DIX SEPT ROSADO117, NA, São Miguel, RN, 59920000;2412500.0;SÃO MIGUEL;RN;87301;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3111249000162;CAMARA DE DIRIGENTES LOJISTAS DE ACARI;CDL;3999;1997-07-08;Ativa;RUA DR. JOSE AUGUSTO54, CENTRO, Acari, RN, 59370000;2400109.0;ACARI;RN;94111;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5763953000125;ASSOCIACAO O AMANHECER DE UM NOVO CIDADAO;Não Informado;3999;2002-12-23;Inapta;RUA FABRICIO MARANHAO770, LAGOA DE SAO JOAO, Canguaretama, RN, 59190000;2402204.0;CANGUARETAMA;RN;94308;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
4202989000177;JUVENTUDE FUTEBOL CLUBE;JUVENTUDE;3999;2000-12-07;Inapta;FAZENDA SAO FRANCISCO-----, -------, --------, São Paulo do Potengi, RN, 59460000;2412609.0;SÃO PAULO DO POTENGI;RN;93123;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
20293671000103;CONSELHO COMUNITARIO DA COMUNIDADE DE OLHO DAGUA DO CARRILHO;Não Informado;3999;2014-04-02;Inapta;RUA RUA BENEDITO LUIZ DA SILVA000000, CASA, OLHO DAGUA DO CARRILHO, São Gonçalo do Amarante, RN, 59290000;2412005.0;SÃO GONÇALO DO AMARANTE;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
70035050000190;NUCLEO DE AMPARO AO MENOR;Não Informado;3999;1993-09-13;Ativa;RUA MANOEL MACHADO81, FELIPE CAMARAO, Natal, RN, 59074010;2408102.0;NATAL;RN;94308;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2632071000132;FUNDACAO ENEAS FERREIRA;FEFER;3069;1998-07-15;Inapta;RUA JOSE BEZERRA78, CENTRO, Pilões, RN, 59960000;2410009.0;PILÕES;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
19085693000190;ASSOCIACAO CULTURAL DO ENCANTO DO MEIO;Não Informado;3999;2013-10-15;Ativa;RUA JOAO MAURICIO DA SILVA15, ENCANTO DO MEIO, Encanto, RN, 59905000;2403301.0;ENCANTO;RN;94995;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19337461000182;AVANCE JUNIOR CONSULTORIA;Não Informado;3999;2013-10-22;Ativa;RUA MANOEL LOPES FILHO138, BLOCO B, VALFREDO GALVAO, Currais Novos, RN, 59380000;2403103.0;CURRAIS NOVOS;RN;70204;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1219239000110;ASSOCIACAO DE MAES D JOANA CHAGAS;Não Informado;3999;1996-05-14;Ativa;AVENIDA CENTENARIOS/N, CASA, P S PEDRO, Macau, RN, 59500000;2407203.0;MACAU;RN;88006;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40756314000133;IGREJA MISSAO DE FE PENTECOSTAL;Não Informado;3999;1991-07-17;Inapta;RUA DOS VIOLEIROSR N, NOVA NATAL, Natal, RN, 59138390;2408102.0;NATAL;RN;94910;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
24365942000131;ASSOCIACAO DE PAIS E FILHOS;Não Informado;3999;1989-06-05;Inapta;RUA ANTONIO CASSIANO COSTAS/N, BETULIA, Macaíba, RN, 59280000;2407104.0;MACAÍBA;RN;87115;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8797194000100;ASSOCIACAO COMUNITARIA VIDA NOVA;Não Informado;3999;2006-12-12;Inapta;SITIO CLAVINOTESN, ZONA RURAL, Lagoa Nova, RN, 59390000;2406502.0;LAGOA NOVA;RN;94995;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12982138000112;CLUBE DE MAES LIRIO DOS VALES;Não Informado;3999;1988-05-19;Suspensa;RUA PRESIDENTE SARMENTO1959, ALECRIM, Natal, RN, 59040400;2408102.0;NATAL;RN;87115;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3392713000136;LAR DE MARIA;Não Informado;3999;1999-08-10;Inapta;RUA MANOEL MIRANDA635, ED FRANCA SALA 101 E 106, ALECRIM, Natal, RN, 59037250;2408102.0;NATAL;RN;94910;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
4017355000144;ASSOCIACAO DE PISCICULTORES EM TANQUES-REDE DE SAO RAFAEL;Não Informado;3999;2000-08-11;Inapta;NA PRAINHAS/N, ZONA RURAL, São Rafael, RN, 59518000;2412807.0;SÃO RAFAEL;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
4702044000114;LIGA NISIENSE DE DESPORTOS;Não Informado;3999;2001-09-20;Inapta;RUA PROJETADAS/N, TOROROMBA, Nísia Floresta, RN, 59164000;2408201.0;NÍSIA FLORESTA;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
7535041000121;CASA DO BEM;Não Informado;3999;2005-08-12;Ativa;RUA PAPA JOA0 XXIII1709, MAE LUIZA, Natal, RN, 59014000;2408102.0;NATAL;RN;94308;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
9078692000165;CLUBE NAUTICO PIRANHAS;CNP;3999;1985-07-05;Inapta;RUA FRANCISCO BARBOSASN, CENTRO, São Rafael, RN, 59518000;2412807.0;SÃO RAFAEL;RN;93123;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
9394743000168;FEDERACAO NORTERIOGRANDENSE DE CICLISMO;Não Informado;3999;1985-12-04;Ativa;PRACA PEDRO VELHOS/N, PALACIO DOS ESPORTE, PETROPOLIS, Natal, RN, 59020400;2408102.0;NATAL;RN;93123;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
11941077000182;FEDERACAO NORTERIOGRANDENSE DE FUTEBOL;Não Informado;3999;1987-02-05;Ativa;AVENIDA HERMES DA FONSECAS/N, TIROL, Natal, RN, 59014615;2408102.0;NATAL;RN;93123;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
12982104000128;ASSOCIACAO RECREATIVA POTIGUAR;Não Informado;3999;1988-05-19;Ativa;NA LOC  POSTO PLANALTOS/N, BR 101 KM 01, CANDELARIA, Natal, RN, 59037155;2408102.0;NATAL;RN;93123;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
9097437000160;IGREJA EVANGELICA BATISTA;Não Informado;3999;1984-09-26;Ativa;AVENIDA BRIGADEIRO EVERALDO BREVES307, CENTRO, Parnamirim, RN, 59140200;2403251.0;PARNAMIRIM;RN;94910;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
6008455000130;AGENCIA DE EDUCACAO PARA O DESENVOLVIMENTO DO ESTADO DO RIO GRANDE DO NORTE - ADERN;ADERN;3999;2003-11-20;Inapta;AVENIDA MIGUEL CASTRO1162, LAGOA NOVA, Natal, RN, 59062000;2408102.0;NATAL;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2201632000149;ASSOCIACAO DOS POSSEIROS DO PROJETO DE ASSENTAMENTO DE LAGOA VERMELHA / SANTA LUZIA;Não Informado;3999;1997-10-31;Inapta;NA COMUNIDADE DE LAGOA VERMELHASN, ZONA RURAL, Upanema, RN, 59670000;2414605.0;UPANEMA;RN;94308;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
15316224000184;GRUPO ESCOTEIROS DO MAR HUMBERTO LUSTOSA;Não Informado;3999;2011-01-17;Ativa;RUA LIMOEIRO DO NORTESN,       CONJ PANATIS II, POTENGI, Natal, RN, 59108230;2408102.0;NATAL;RN;94995;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
